# panoshader ver 1.0
# Released on March 2003. Currently closed due to release of version 2.
#remote hostname,remote ip:port,date,time
vp174184.nt.uac64.hknet.com,203.169.174.184:1028,9/4/2004,22:09:50
vp170169.nt.uac64.hknet.com,203.169.170.169:21037,11/4/2004,2:59:35
vp170169.nt.uac64.hknet.com,203.169.170.169:1043,11/4/2004,3:04:50
